Ontology ID	Label	Obsolete	ZFIN Annotation	Replaced
http://purl.obolibrary.org/obo/ZP_0009792	"obsolete roof plate rhombomere region decreased width, abnormal"	true	0-0-ZFA:0001311-PATO:0000599-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009900	"obsolete choroidal fissure open, abnormal"	true	0-0-ZFA:0001075-PATO:0000610-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009937	"obsolete alkaline phosphatase activity dorsal aorta decreased occurrence, abnormal"	true	GO:0004035-BFO:0000050-ZFA:0000014-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0009945	"obsolete GO:0016337 increased occurrence, abnormal"	true	0-0-GO:0016337-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010155	"obsolete choroid plexus fourth ventricle morphology, abnormal"	true	0-0-ZFA:0001446-PATO:0000051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010242	"obsolete subintestinal vein abnormal, abnormal"	true	0-0-ZFA:0005035-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010456	"obsolete vasculature abnormal, abnormal"	true	0-0-ZFA:0005249-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010480	"obsolete tissue death increased occurrence, abnormal"	true	0-0-GO:0016271-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010636	"obsolete pharyngeal arch cartilage abnormal, abnormal"	true	0-0-ZFA:0001460-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010844	"obsolete cranial cartilage abnormal, abnormal"	true	0-0-ZFA:0001458-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010852	"obsolete thoracic duct abnormal, abnormal"	true	0-0-ZFA:0005110-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010889	"obsolete angioblast cell migration abnormal, abnormal"	true	0-0-GO:0035476-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0010972	"obsolete cytoskeletal part intestinal epithelium mislocalised, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0011060	"obsolete fourth ventricle abnormal, abnormal"	true	0-0-ZFA:0000110-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011076	"obsolete optic stalk abnormal, abnormal"	true	0-0-ZFA:0000137-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011080	"obsolete supraoptic commissure abnormal, abnormal"	true	0-0-ZFA:0000690-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011082	"obsolete anterior commissure abnormal, abnormal"	true	0-0-ZFA:0001108-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011094	"obsolete rhombomere boundary formation abnormal, abnormal"	true	0-0-GO:0021654-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011111	"obsolete fourth ventricle development abnormal, abnormal"	true	0-0-GO:0021592-PATO:0000460-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011273	"obsolete vH ionocyte rate ATP hydrolysis coupled proton transport, abnormal"	true	GO:0015991-BFO:0000066-ZFA:0005327-PATO:0000161-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011298	"obsolete vH ionocyte decreased rate ATP hydrolysis coupled proton transport, abnormal"	true	GO:0015991-BFO:0000066-ZFA:0005327-PATO:0000911-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011353	"obsolete cysteine-type endopeptidase activity retinal ganglion cell decreased occurrence, abnormal"	true	GO:0004197-BFO:0000050-ZFA:0009310-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011459	"obsolete GO:0000046 process quality, abnormal"	true	0-0-GO:0000046-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011654	"obsolete choroidal fissure closure incomplete, abnormal"	true	0-0-ZFA:0001075-PATO:0000609-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011765	"obsolete collateral sprouting in absence of injury disrupted, abnormal"	true	0-0-GO:0048669-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011772	"obsolete pronephric tubule branched, abnormal"	true	0-0-ZFA:0001558-PATO:0000402-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011773	"obsolete pronephric tubule undulate, abnormal"	true	0-0-ZFA:0001558-PATO:0000967-0-0-0	
http://purl.obolibrary.org/obo/ZP_0011774	"obsolete pronephric tubule in contact with pronephric tubule, abnormal"	true	0-0-ZFA:0001558-PATO:0001961-0-0-ZFA:0001558	
http://purl.obolibrary.org/obo/ZP_0012000	"obsolete phosphodiesterase I activity whole organism decreased occurrence, abnormal"	true	GO:0004528-BFO:0000050-ZFA:0001094-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012094	"obsolete GO:0097369 increased occurrence, abnormal"	true	0-0-GO:0097369-PATO:0002051-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012239	"obsolete kidney lacks parts or has fewer parts of type hematopoietic stem cell, abnormal"	true	0-0-ZFA:0000529-PATO:0001999-0-0-ZFA:0009014	
http://purl.obolibrary.org/obo/ZP_0012509	"obsolete hindbrain has fewer parts of type ZFA:0005182, abnormal"	true	0-0-ZFA:0000029-PATO:0002001-0-0-ZFA:0005182	
http://purl.obolibrary.org/obo/ZP_0012579	"obsolete catechol oxidase activity eye disrupted, abnormal"	true	GO:0004097-BFO:0000050-ZFA:0000107-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012581	"obsolete catechol oxidase activity melanocyte disrupted, abnormal"	true	GO:0004097-BFO:0000050-ZFA:0009091-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012644	"obsolete NMDA glutamate receptor activity Mauthner neuron decreased duration, abnormal"	true	GO:0004972-BFO:0000050-ZFA:0009149-PATO:0000499-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012645	"obsolete NMDA glutamate receptor activity Mauthner neuron decreased process quality, abnormal"	true	GO:0004972-BFO:0000050-ZFA:0009149-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012894	"obsolete GO:0042384 growth quality of occurrent, abnormal"	true	0-0-GO:0042384-PATO:0001433-0-0-0	
http://purl.obolibrary.org/obo/ZP_0012972	"obsolete somite present, abnormal"	true	0-0-ZFA:0000155-PATO:0000467-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013049	"obsolete convergent extension occurrence, abnormal"	true	0-0-GO:0060026-PATO:0000057-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013238	"obsolete ZFA:0005182 amount, abnormal"	true	0-0-ZFA:0005182-PATO:0000070-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013302	"obsolete GO:0015992 process quality, abnormal"	true	0-0-GO:0015992-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013461	"obsolete catechol oxidase activity eye process quality, abnormal"	true	GO:0004097-BFO:0000050-ZFA:0000107-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013462	"obsolete catechol oxidase activity melanocyte process quality, abnormal"	true	GO:0004097-BFO:0000050-ZFA:0009091-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013468	"obsolete heart contraction rhythmic, abnormal"	true	0-0-GO:0060047-PATO:0000505-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013539	"obsolete AMPA glutamate receptor activity Mauthner neuron process quality, abnormal"	true	GO:0004971-BFO:0000050-ZFA:0009149-PATO:0001236-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013587	"obsolete GO:0007067 occurrence, abnormal"	true	0-0-GO:0007067-PATO:0000057-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013686	"obsolete neurotransmitter secretion frequency, abnormal"	true	0-0-GO:0007269-PATO:0000044-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013740	"obsolete roof plate rhombomere region thickness, abnormal"	true	0-0-ZFA:0001311-PATO:0000915-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013928	"obsolete biological_process quality, abnormal"	true	0-0-GO:0008150-PATO:0000001-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013929	"obsolete molecular_function quality, abnormal"	true	0-0-GO:0003674-PATO:0000001-0-0-0	
http://purl.obolibrary.org/obo/ZP_0013930	"obsolete cellular_component quality, abnormal"	true	0-0-GO:0005575-PATO:0000001-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014080	"obsolete alkaline phosphatase activity gut epithelium disrupted, abnormal"	true	GO:0004035-BFO:0000050-ZFA:0005123-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014084	"obsolete extracellular matrix component regenerating fin increased amount, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0014250	"obsolete GO:0007067 decreased rate, abnormal"	true	0-0-GO:0007067-PATO:0000911-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014429	"obsolete ATP catabolic process increased process quality, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0014493	"obsolete GO:0071436 increased process quality, abnormal"	true	0-0-GO:0071436-PATO:0002304-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014494	"obsolete GO:0097369 increased process quality, abnormal"	true	0-0-GO:0097369-PATO:0002304-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014578	"obsolete GO:0000046 decreased process quality, abnormal"	true	0-0-GO:0000046-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014675	"obsolete cysteine-type endopeptidase activity retinal ganglion cell occurrence, abnormal"	true	GO:0004197-BFO:0000050-ZFA:0009310-PATO:0000057-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014683	"obsolete vH ionocyte increased rate ATP hydrolysis coupled proton transport, abnormal"	true	GO:0015991-BFO:0000066-ZFA:0005327-PATO:0000912-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014750	"obsolete acetylcholinesterase activity gut decreased process quality, abnormal"	true	GO:0003990-BFO:0000050-ZFA:0000112-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014821	"obsolete retinal ganglion cell proliferative, abnormal"	true	0-0-ZFA:0009310-PATO:0002102-0-0-0	
http://purl.obolibrary.org/obo/ZP_0014871	"obsolete GO:0000046 disrupted, abnormal"	true	0-0-GO:0000046-PATO:0001507-0-0-0	
http://purl.obolibrary.org/obo/ZP_0015017	"obsolete somite border amount, abnormal"	true	0-0-ZFA:0001462-PATO:0000070-0-0-0	
http://purl.obolibrary.org/obo/ZP_0015044	"obsolete neuron-producing asymmetric radial glial cell division in forebrain occurrence, abnormal"	true	0-0-GO:0021867-PATO:0000057-0-0-0	
http://purl.obolibrary.org/obo/ZP_0015312	"obsolete nitric-oxide synthase activity leukocyte increased process quality, abnormal"	true	GO:0004517-BFO:0000050-ZFA:0009309-PATO:0002304-0-0-0	
http://purl.obolibrary.org/obo/ZP_0015364	"obsolete corpuscles of Stannius present, abnormal"	true	0-0-ZFA:0001200-PATO:0000467-0-0-0	
http://purl.obolibrary.org/obo/ZP_0015456	"obsolete antibiotic transport disrupted, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0015457	"obsolete antibiotic transmembrane transporter activity decreased occurrence, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0016275	"obsolete catechol oxidase activity melanocyte decreased process quality, abnormal"	true	GO:0004097-BFO:0000050-ZFA:0009091-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0016566	"obsolete cell cycle lacking processual parts GO:0007067, abnormal"	true	0-0-GO:0007049-PATO:0001558-0-0-GO:0007067	
http://purl.obolibrary.org/obo/ZP_0016882	"obsolete GTPase activator activity integument increased process quality, abnormal"	true	GO:0005096-BFO:0000050-ZFA:0000368-PATO:0002304-0-0-0	
http://purl.obolibrary.org/obo/ZP_0016921	"obsolete olfactory receptor activity microvillous olfactory receptor neuron decreased process quality, abnormal"	true	GO:0004984-BFO:0000050-ZFA:0009359-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0016922	"obsolete olfactory receptor activity olfactory bulb decreased process quality, abnormal"	true	GO:0004984-BFO:0000050-ZFA:0000402-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0017133	"obsolete diencephalon position, abnormal"	true	0-0-ZFA:0000101-PATO:0000140-0-0-0	
http://purl.obolibrary.org/obo/ZP_0017135	"obsolete heart rudiment position, abnormal"	true	0-0-ZFA:0000115-PATO:0000140-0-0-0	
http://purl.obolibrary.org/obo/ZP_0017199	"obsolete GO:0097369 decreased occurrence, abnormal"	true	0-0-GO:0097369-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0017531	"obsolete peroxidase activity neutrophil decreased process quality, abnormal"	true	GO:0004601-BFO:0000050-ZFA:0009327-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0017619	"obsolete chitin synthase activity intestine lumen decreased occurrence, abnormal"	true	GO:0004100-BFO:0000050-ZFA:0005807-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0018493	"obsolete intracellular part skeletal muscle aggregated, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0018494	"obsolete intracellular part myoseptum aggregated, abnormal"	true	Removed as part of a major revision session. Please contact us on https://github.com/obophenotype/zebrafish-phenotype-ontology/issues for suitable replacement terms.	
http://purl.obolibrary.org/obo/ZP_0018875	"obsolete lipase activity intestine decreased occurrence, abnormal"	true	GO:0016298-BFO:0000050-ZFA:0001338-PATO:0002052-0-0-0	
http://purl.obolibrary.org/obo/ZP_0018878	"obsolete lipase activity gall bladder absent, abnormal"	true	GO:0016298-BFO:0000050-ZFA:0000208-PATO:0000462-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019064	"obsolete skeletal muscle cell alignment skeletal muscle cell, abnormal"	true	0-0-ZFA:0009115-PATO:0001652-0-0-ZFA:0009115	
http://purl.obolibrary.org/obo/ZP_0019139	"obsolete embryo development ending in birth or egg hatching decreased process quality, abnormal"	true	0-0-GO:0009792-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019481	"obsolete ubiquinol-cytochrome-c reductase activity brain decreased process quality, abnormal"	true	GO:0008121-BFO:0000050-ZFA:0000008-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019489	"obsolete cytochrome-c oxidase activity brain decreased process quality, abnormal"	true	GO:0004129-BFO:0000050-ZFA:0000008-PATO:0002302-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019494	"obsolete chitinase activity brain increased process quality, abnormal"	true	GO:0004568-BFO:0000050-ZFA:0000008-PATO:0002304-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019497	"obsolete hexosaminidase activity brain increased process quality, abnormal"	true	GO:0015929-BFO:0000050-ZFA:0000008-PATO:0002304-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019544	"obsolete embryonic viscerocranium morphogenesis occurrence, abnormal"	true	0-0-GO:0048703-PATO:0000057-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019565	"obsolete cranial skeletal system development occurrence, abnormal"	true	0-0-GO:1904888-PATO:0000057-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019591	"obsolete embryo development ending in birth or egg hatching arrested, abnormal"	true	0-0-GO:0009792-PATO:0000297-0-0-0	
http://purl.obolibrary.org/obo/ZP_0019926	"obsolete interneuron spatial pattern, abnormal"	true	0-0-ZFA:0009051-PATO:0000060-0-0-0	
http://purl.obolibrary.org/obo/ZP_0020021	"obsolete midbrain hindbrain boundary increased distribution, abnormal"	true	0-0-ZFA:0000042-PATO:0001671-0-0-0	
http://purl.obolibrary.org/obo/ZP_0020023	"obsolete motor neuron increased distribution, abnormal"	true	0-0-ZFA:0009052-PATO:0001671-0-0-0	
