affected_entity_1_sub	affected_entity_1_super	affected_entity_2_sub	affected_entity_2_super	defined_class	pato_id
ZFA:0009000	ZFA:0001117	ZFA:0009000	ZFA:0001117	ZP:0009635	PATO:0001531
BSPO:0000055	ZFA:0000144	BSPO:0000056	ZFA:0000144	ZP:0009725	PATO:0001505
BSPO:0000000	ZFA:0000255	BSPO:0000007	ZFA:0000255	ZP:0009864	PATO:0000642
BSPO:0000000	ZFA:0000948	BSPO:0000007	ZFA:0000948	ZP:0009926	PATO:0000642
ZFA:0005220	ZFA:0001115	BSPO:0000013	ZFA:0001094	ZP:0010093	PATO:0001654
GO:0030424	ZFA:0009301	ZFA:0000092	ZFA:0000029	ZP:0010110	PATO:0002259
BSPO:0000071	ZFA:0000107	BSPO:0000071	ZFA:0000107	ZP:0010179	PATO:0000375
BSPO:0000048	ZFA:0000725	BSPO:0000048	ZFA:0000725	ZP:0010333	PATO:0000642
BSPO:0000048	ZFA:0000726	BSPO:0000048	ZFA:0000726	ZP:0010335	PATO:0000642
BSPO:0000048	ZFA:0000851	BSPO:0000048	ZFA:0000851	ZP:0010339	PATO:0000642
BSPO:0000048	ZFA:0000852	BSPO:0000048	ZFA:0000852	ZP:0010341	PATO:0000642
BSPO:0000048	ZFA:0000975	BSPO:0000048	ZFA:0000975	ZP:0010344	PATO:0000642
BSPO:0000067	ZFA:0000155	BSPO:0000067	ZFA:0000155	ZP:0010404	PATO:0000642
ZFA:0000155	ZFA:0001117	ZFA:0000155	ZFA:0001117	ZP:0010406	PATO:0000374
ZFA:0000435	ZFA:0000556	ZFA:0000435	ZFA:0000556	ZP:0010431	PATO:0002035
BSPO:0000000	ZFA:0000028	BSPO:0000007	ZFA:0000028	ZP:0010508	PATO:0000642
ZFA:0009166	ZFA:0001306	ZFA:0009166	ZFA:0001306	ZP:0010635	PATO:0000642
GO:0005923	ZFA:0009316	GO:0005923	ZFA:0009316	ZP:0010677	PATO:0001738
ZFA:0009000	ZFA:0000144	GO:0042470	ZFA:0000144	ZP:0010740	PATO:0002001
BSPO:0000000	ZFA:0001346	BSPO:0000007	ZFA:0001346	ZP:0010931	PATO:0000651
BSPO:0000007	ZFA:0001557	BSPO:0000000	ZFA:0001557	ZP:0010939	PATO:0000651
ZFA:0000135	ZFA:0001114	ZFA:0009000	ZFA:0000135	ZP:0010956	PATO:0002001
GO:0044316	ZFA:0009262	GO:0097470	ZFA:0009262	ZP:0011054	PATO:0001999
GO:0030424	ZFA:0001659	BSPO:0000082	ZFA:0000029	ZP:0011239	PATO:0002168
GO:0030424	ZFA:0001659	BSPO:0000083	ZFA:0000029	ZP:0011240	PATO:0002168
GO:0030424	ZFA:0005778	BSPO:0000083	ZFA:0000029	ZP:0011241	PATO:0002168
GO:0030424	ZFA:0009301	BSPO:0000083	ZFA:0000029	ZP:0011251	PATO:0002168
GO:0030424	ZFA:0009310	GO:0048786	ZFA:0009310	ZP:0011357	PATO:0002002
ZFA:0009065	ZFA:0001286	GO:0030175	ZFA:0009065	ZP:0011398	PATO:0002002
GO:0005776	ZFA:0009000	GO:0048471	ZFA:0009000	ZP:0011462	PATO:0002269
GO:0044754	ZFA:0009000	GO:0048471	ZFA:0009000	ZP:0011463	PATO:0002269
GO:0005634	ZFA:0000001	GO:0016324	ZFA:0000001	ZP:0011485	PATO:0000374
GO:0036064	ZFA:0000001	GO:0016324	ZFA:0000001	ZP:0011487	PATO:0001453
ZFA:0005242	ZFA:0000151	GO:0005929	ZFA:0005242	ZP:0011597	PATO:0001999
BSPO:0000058	ZFA:0000042	ZFA:0001486	ZFA:0000008	ZP:0011601	PATO:0002327
GO:0005884	ZFA:0009306	BSPO:0000073	ZFA:0000042	ZP:0011603	PATO:0002271
BSPO:0000006	ZFA:0001284	BSPO:0000006	ZFA:0001284	ZP:0011607	PATO:0000651
GO:0001917	ZFA:0009262	GO:0031410	ZFA:0009262	ZP:0011637	PATO:0002002
GO:0030424	ZFA:0009310	BSPO:0000084	ZFA:0000152	ZP:0011685	PATO:0002270
GO:0036064	ZFA:0001558	GO:0016324	ZFA:0001558	ZP:0011921	PATO:0001505
BSPO:0000079	ZFA:0001285	GO:0030054	ZFA:0009065	ZP:0012018	PATO:0001999
ZFA:0009303	ZFA:0001285	ZFA:0005559	ZFA:0001285	ZP:0012020	PATO:0001738
GO:0005884	ZFA:0009306	BSPO:0000074	ZFA:0000042	ZP:0012035	PATO:0002271
GO:0005865	ZFA:0005145	GO:0032982	ZFA:0005145	ZP:0012100	PATO:0001505
ZFA:0009141	ZFA:0000368	GO:0042995	ZFA:0009141	ZP:0012177	PATO:0001999
GO:0030018	ZFA:0005784	GO:0030018	ZFA:0005784	ZP:0012205	PATO:0001654
GO:0030016	ZFA:0009114	GO:0005927	ZFA:0009114	ZP:0012265	PATO:0001505
GO:0030016	ZFA:0009114	GO:0030016	ZFA:0009114	ZP:0012266	PATO:0001654
GO:0030424	ZFA:0000175	GO:0005739	ZFA:0000175	ZP:0012289	PATO:0002001
GO:0030424	ZFA:0001058	GO:0005739	ZFA:0009248	ZP:0012290	PATO:0002001
GO:0098723	ZFA:0009114	GO:0098723	ZFA:0009114	ZP:0012305	PATO:0000374
ZFA:0001285	ZFA:0000014	ZFA:0001285	ZFA:0005025	ZP:0012307	PATO:0001505
BSPO:0000073	ZFA:0005062	GO:0097512	ZFA:0005062	ZP:0012595	PATO:0002001
GO:0045180	ZFA:0005062	GO:0097512	ZFA:0005062	ZP:0012596	PATO:0002002
GO:0030424	ZFA:0009310	GO:0048786	ZFA:0009310	ZP:0012868	PATO:0001905
ZFA:0009116	ZFA:0001056	ZFA:0009116	ZFA:0001056	ZP:0013078	PATO:0001652
GO:0036064	ZFA:0000001	GO:0016324	ZFA:0000001	ZP:0013098	PATO:0000040
GO:0005813	ZFA:0001071	BSPO:0000073	ZFA:0001071	ZP:0013182	PATO:0002261
GO:0043296	ZFA:0000023	GO:0043296	ZFA:0000086	ZP:0013191	PATO:0001435
GO:0005694	ZFA:0009177	GO:0005694	ZFA:0009177	ZP:0013338	PATO:0000133
ZFA:0009199	ZFA:0001115	ZFA:0009091	ZFA:0001115	ZP:0013349	PATO:0001505
GO:0001518	ZFA:0009150	GO:0005783	ZFA:0009150	ZP:0013921	PATO:0002269
GO:0001518	ZFA:0009150	GO:0005794	ZFA:0009150	ZP:0013922	PATO:0002269
ZFA:0009052	ZFA:0000075	GO:0045202	ZFA:0009052	ZP:0013924	PATO:0002001
ZFA:0009065	ZFA:0001285	ZFA:0009065	ZFA:0001285	ZP:0014029	PATO:0001453
ZFA:0009065	ZFA:0005025	ZFA:0009065	ZFA:0005025	ZP:0014030	PATO:0001453
GO:0005694	ZFA:0000088	GO:0005694	ZFA:0000088	ZP:0014336	PATO:0000642
BSPO:0000071	ZFA:0001558	BSPO:0000071	ZFA:0001558	ZP:0014400	PATO:0000642
GO:0032420	ZFA:0009367	GO:0032420	ZFA:0009367	ZP:0014453	PATO:0000642
ZFA:0009114	ZFA:0001056	GO:0005927	ZFA:0001056	ZP:0014458	PATO:0001667
GO:0016528	ZFA:0009115	GO:0016528	ZFA:0009115	ZP:0014537	PATO:0001505
GO:0048786	ZFA:0009318	GO:0008021	ZFA:0009318	ZP:0014552	PATO:0002001
GO:0097470	ZFA:0009318	GO:0008021	ZFA:0009318	ZP:0014555	PATO:0001905
GO:0005929	ZFA:0000001	GO:0005879	ZFA:0000001	ZP:0014818	PATO:0002001
BSPO:0000062	ZFA:0001550	BSPO:0000061	ZFA:0001550	ZP:0015142	PATO:0001654
BSPO:0000070	ZFA:0009247	BSPO:0000070	ZFA:0009247	ZP:0015249	PATO:0000642
GO:0005634	ZFA:0009280	BSPO:0000073	ZFA:0009280	ZP:0015288	PATO:0002168
GO:0032420	ZFA:0009367	GO:0032420	ZFA:0009367	ZP:0015460	PATO:0000651
GO:0008021	ZFA:0009125	GO:0043679	ZFA:0000327	ZP:0016059	PATO:0001159
GO:0008021	ZFA:0009125	GO:0045202	ZFA:0000327	ZP:0016060	PATO:0002270
GO:0043679	ZFA:0009125	GO:0045202	ZFA:0005673	ZP:0016063	PATO:0002002
ZFA:0009027	ZFA:0001306	GO:0005643	ZFA:0009027	ZP:0016453	PATO:0002001
ZFA:0009000	ZFA:0000022	ZFA:0009000	ZFA:0000022	ZP:0016584	PATO:0001505
ZFA:0009000	ZFA:0000031	ZFA:0009000	ZFA:0000031	ZP:0016586	PATO:0001505
GO:0005737	ZFA:0005746	GO:0005882	ZFA:0005746	ZP:0016657	PATO:0001999
GO:0005737	ZFA:0009111	GO:0005773	ZFA:0009111	ZP:0016779	PATO:0002002
GO:0043005	ZFA:0009052	GO:0045202	ZFA:0009052	ZP:0017047	PATO:0002001
ZFA:0009177	ZFA:0000086	ZFA:0009177	ZFA:0000086	ZP:0017160	PATO:0001453
ZFA:0009036	ZFA:0001286	GO:0030175	ZFA:0009036	ZP:0017551	PATO:0002001
GO:0031941	ZFA:0009065	BSPO:0000079	ZFA:0001052	ZP:0018242	PATO:0002271
GO:0005741	ZFA:0009114	GO:0005743	ZFA:0009114	ZP:0018364	PATO:0001453
GO:0030017	ZFA:0009114	GO:0030017	ZFA:0009114	ZP:0018369	PATO:0001654
BSPO:0000084	ZFA:0000075	GO:0043209	ZFA:0000075	ZP:0018528	PATO:0002001
BSPO:0000072	ZFA:0001157	ZFA:0009000	ZFA:0001157	ZP:0018578	PATO:0002002
GO:0031514	ZFA:0000150	GO:0036157	ZFA:0000150	ZP:0018720	PATO:0002000
GO:0001917	ZFA:0009154	GO:0005764	ZFA:0009154	ZP:0019149	PATO:0002002
GO:0001917	ZFA:0009154	GO:0005773	ZFA:0009154	ZP:0019150	PATO:0002269
GO:0001750	ZFA:0009154	GO:0031982	ZFA:0009154	ZP:0019151	PATO:0002002
GO:0001917	ZFA:0009154	GO:0031982	ZFA:0009154	ZP:0019155	PATO:0002269
GO:0005694	ZFA:0009000	GO:0005694	ZFA:0009000	ZP:0019254	PATO:0001505
GO:0001750	ZFA:0009127	BSPO:0000382	ZFA:0009127	ZP:0019364	PATO:0002168
GO:0030424	ZFA:0000175	GO:0043209	ZFA:0009248	ZP:0019525	PATO:0001999
GO:0030981	ZFA:0005772	GO:0005818	ZFA:0005772	ZP:0019601	PATO:0002002
BSPO:0000000	ZFA:0001400	BSPO:0000007	ZFA:0001400	ZP:0019660	PATO:0002327
GO:0043679	ZFA:0009310	GO:0005739	ZFA:0009310	ZP:0019848	PATO:0002001
BSPO:0000072	ZFA:0001570	GO:0060473	ZFA:0001570	ZP:0019865	PATO:0002002
GO:0005826	ZFA:0000093	GO:0031941	ZFA:0000093	ZP:0020090	PATO:0002001
GO:0030315	ZFA:0005277	GO:0016529	ZFA:0005277	ZP:0020132	PATO:0002000
GO:0030141	ZFA:0009269	BSPO:0000057	ZFA:0009269	ZP:0020195	PATO:0002269
GO:0098681	ZFA:0009367	GO:0098681	ZFA:0009367	ZP:0020229	PATO:0000374
ZFA:0009033	ZFA:0000029	GO:0031514	ZFA:0009033	ZP:0020500	PATO:0002001
GO:0005759	ZFA:0005277	GO:0031982	ZFA:0005277	ZP:0020508	PATO:0002269
ZFA:0009077	ZFA:0000445	GO:0032010	ZFA:0009077	ZP:0020627	PATO:0002002
GO:0048788	ZFA:0009366	GO:0008021	ZFA:0009366	ZP:0021134	PATO:0002001
ZFA:0009366	ZFA:0007000	GO:0008021	ZFA:0009366	ZP:0021143	PATO:0002001
ZFA:0009366	ZFA:0000166	GO:0097470	ZFA:0009366	ZP:0021146	PATO:0002001
GO:0097470	ZFA:0009366	GO:0008021	ZFA:0009366	ZP:0021148	PATO:0002001
ZFA:0001083	ZFA:0000505	ZFA:0009019	ZFA:0000505	ZP:0021640	PATO:0002002
ZFA:0009031	ZFA:0001269	BSPO:0000078	ZFA:0001514	ZP:0022201	PATO:0002269
GO:0048788	ZFA:0009366	GO:0048787	ZFA:0009366	ZP:0022329	PATO:0000040
GO:0097189	ZFA:0009141	GO:0005764	ZFA:0009141	ZP:0022440	PATO:0002269
GO:0043679	ZFA:0009310	GO:0098793	ZFA:0009310	ZP:0022509	PATO:0001905
GO:0001917	ZFA:0009154	GO:0031982	ZFA:0009154	ZP:0022861	PATO:0002002
GO:0005737	ZFA:0001620	GO:0031982	ZFA:0001620	ZP:0100078	PATO:0002002
GO:0005737	ZFA:0001621	GO:0031982	ZFA:0001621	ZP:0100079	PATO:0001905
ZFA:0009115	ZFA:0001056	GO:0098723	ZFA:0009115	ZP:0100131	PATO:0002001
GO:0005764	ZFA:0005237	GO:0005739	ZFA:0005237	ZP:0100152	PATO:0002002
GO:0030016	ZFA:0005277	GO:0005927	ZFA:0005277	ZP:0100181	PATO:0001453
ZFA:0009000	ZFA:0001558	ZFA:0009000	ZFA:0001558	ZP:0100266	PATO:0000374
GO:0097544	ZFA:0000166	GO:0030990	ZFA:0000166	ZP:0100298	PATO:0002002
BSPO:0000035	ZFA:0000075	GO:0030424	ZFA:0005865	ZP:0100402	PATO:0001999
BSPO:0000072	ZFA:0000075	GO:0030424	ZFA:0005865	ZP:0100403	PATO:0001999
BSPO:0000084	ZFA:0000075	GO:0030424	ZFA:0005865	ZP:0100404	PATO:0001999
BSPO:0000074	ZFA:0009041	GO:0031941	ZFA:0009041	ZP:0100505	PATO:0002001
GO:0044233	ZFA:0000075	GO:0005740	ZFA:0000075	ZP:0100725	PATO:0000040
ZFA:0000206	ZFA:0000823	GO:0043005	ZFA:0009052	ZP:0100740	PATO:0002002
ZFA:0000206	ZFA:0001032	GO:0043005	ZFA:0009052	ZP:0100741	PATO:0002002
GO:0030424	ZFA:0009248	GO:0005739	ZFA:0009248	ZP:0100834	PATO:0002001
GO:0030018	ZFA:0005277	GO:0030018	ZFA:0005277	ZP:0100986	PATO:0001652
BSPO:0000070	ZFA:0000072	ZFA:0009000	ZFA:0000135	ZP:0101105	PATO:0002001
BSPO:0000070	ZFA:0000728	ZFA:0009000	ZFA:0000135	ZP:0101106	PATO:0002001
ZFA:0009366	ZFA:0000051	ZFA:0009366	ZFA:0000051	ZP:0101236	PATO:0000374
ZFA:0009000	ZFA:0005057	BSPO:0000070	ZFA:0005811	ZP:0101600	PATO:0002270
BSPO:0000082	ZFA:0000072	ZFA:0009000	ZFA:0000135	ZP:0101625	PATO:0002001
BSPO:0000082	ZFA:0000728	ZFA:0009000	ZFA:0000135	ZP:0101626	PATO:0002001
GO:0043679	ZFA:0000175	GO:0005739	ZFA:0000175	ZP:0101782	PATO:0002002
GO:0043679	ZFA:0000940	GO:0005739	ZFA:0000940	ZP:0101783	PATO:0002002
BSPO:0000072	ZFA:0009149	GO:0043209	ZFA:0009149	ZP:0101801	PATO:0002001
GO:0001750	ZFA:0009154	GO:0001917	ZFA:0009154	ZP:0102005	PATO:0001453
GO:0005886	ZFA:0005746	GO:0005901	ZFA:0005746	ZP:0102147	PATO:0002001
GO:0036379	ZFA:0009316	GO:0036379	ZFA:0009316	ZP:0102415	PATO:0001654
GO:0036379	ZFA:0009316	GO:0036379	ZFA:0009316	ZP:0102416	PATO:0001505
GO:0005886	ZFA:0009316	GO:0042995	ZFA:0009316	ZP:0102417	PATO:0002002
ZFA:0000036	ZFA:0005147	ZFA:0009034	ZFA:0000036	ZP:0102459	PATO:0002002
GO:0005813	ZFA:0000029	GO:0005813	ZFA:0000029	ZP:0102523	PATO:0002259
GO:0016020	ZFA:0009163	GO:0042995	ZFA:0009163	ZP:0102688	PATO:0002002
GO:0005634	ZFA:0001326	BSPO:0000005	ZFA:0000035	ZP:0102950	PATO:0000133
ZFA:0009303	ZFA:0001285	GO:0030175	ZFA:0009303	ZP:0103176	PATO:0002001
GO:0031514	ZFA:0001558	GO:0036156	ZFA:0001558	ZP:0103235	PATO:0002001
GO:0031514	ZFA:0001558	GO:0036157	ZFA:0001558	ZP:0103236	PATO:0002001
BSPO:0000069	ZFA:0000032	ZFA:0009062	ZFA:0000032	ZP:0103241	PATO:0001999
GO:0030424	ZFA:0009310	BSPO:0000065	ZFA:0000445	ZP:0103343	PATO:0002173
GO:0005737	ZFA:0009135	GO:0043209	ZFA:0000175	ZP:0103415	PATO:0001772
GO:0043209	ZFA:0000175	GO:0030424	ZFA:0000175	ZP:0103416	PATO:0001772
GO:0005634	ZFA:0000086	GO:0005634	ZFA:0000086	ZP:0103455	PATO:0000642
ZFA:0009115	ZFA:0001056	GO:0098723	ZFA:0009115	ZP:0103491	PATO:0001905
BSPO:0000072	ZFA:0000445	GO:0005776	ZFA:0000445	ZP:0103602	PATO:0001905
BSPO:0000072	ZFA:0000445	GO:0005764	ZFA:0000445	ZP:0103603	PATO:0002002
BSPO:0000072	ZFA:0000445	GO:0005764	ZFA:0000445	ZP:0103628	PATO:0001905
ZFA:0005255	ZFA:0001057	ZFA:0000082	ZFA:0001057	ZP:0104269	PATO:0001470
ZFA:0007087	ZFA:0000822	ZFA:0007087	ZFA:0001032	ZP:0104304	PATO:0000642
GO:1990904	ZFA:0000093	BSPO:0000127	ZFA:0001175	ZP:0104480	PATO:0002168
ZFA:0009115	ZFA:0001056	GO:0031982	ZFA:0009115	ZP:0104639	PATO:0002002
BSPO:0000071	ZFA:0000001	GO:0005773	ZFA:0000001	ZP:0104657	PATO:0001905
BSPO:0000072	ZFA:0000001	GO:0005773	ZFA:0000001	ZP:0104658	PATO:0002002
ZFA:0009065	ZFA:0001320	ZFA:0001643	ZFA:0000114	ZP:0104726	PATO:0002269
GO:0032154	ZFA:0000093	GO:1990904	ZFA:0001175	ZP:0104753	PATO:0002001
GO:0032809	ZFA:0005175	GO:0098978	ZFA:0005175	ZP:0104786	PATO:0001905
GO:0032809	ZFA:0009243	GO:0060077	ZFA:0009243	ZP:0104787	PATO:0001905
GO:0032809	ZFA:0009243	GO:0098978	ZFA:0009243	ZP:0104788	PATO:0002001
GO:0032809	ZFA:0009243	GO:0098978	ZFA:0009243	ZP:0104798	PATO:0001905
GO:0043209	ZFA:0009076	GO:0044297	ZFA:0009248	ZP:0105740	PATO:0002435
ZFA:0009033	ZFA:0000075	GO:0031514	ZFA:0009033	ZP:0105762	PATO:0002001
GO:0031982	ZFA:0009127	BSPO:0000073	ZFA:0009127	ZP:0105791	PATO:0002269
GO:0035770	ZFA:0000093	GO:0032154	ZFA:0000093	ZP:0105822	PATO:0002271
GO:0016324	ZFA:0005239	GO:0005886	ZFA:0001566	ZP:0105914	PATO:0001961
BSPO:0000084	ZFA:0000075	GO:0043209	ZFA:0009076	ZP:0106108	PATO:0002001
BSPO:0000079	ZFA:0000075	GO:0043209	ZFA:0009076	ZP:0106174	PATO:0002002
BSPO:0000084	ZFA:0000075	GO:0043209	ZFA:0009076	ZP:0106175	PATO:0001905
ZFA:0009033	ZFA:0000075	GO:0031514	ZFA:0009033	ZP:0106196	PATO:0001905
ZFA:0000519	ZFA:0000263	ZFA:0000519	ZFA:0000263	ZP:0106290	PATO:0000642
ZFA:0001066	ZFA:0000326	ZFA:0001066	ZFA:0000326	ZP:0106291	PATO:0000642
ZFA:0001066	ZFA:0001190	ZFA:0000126	ZFA:0001190	ZP:0106292	PATO:0000642
GO:0005739	ZFA:0000093	GO:0032154	ZFA:0000093	ZP:0106428	PATO:0002271
GO:0005764	ZFA:0000093	GO:0032154	ZFA:0000093	ZP:0106429	PATO:0002271
GO:0005783	ZFA:0000093	GO:0032154	ZFA:0000093	ZP:0106430	PATO:0002271
ZFA:0000105	ZFA:0001115	GO:0030424	ZFA:0009053	ZP:0106569	PATO:0002000
ZFA:0000105	ZFA:0001115	GO:0030424	ZFA:0009053	ZP:0106570	PATO:0002001
BSPO:0000084	ZFA:0000101	ZFA:0009301	ZFA:0000101	ZP:0106866	PATO:0002001
BSPO:0000084	ZFA:0000101	ZFA:0009301	ZFA:0000101	ZP:0106872	PATO:0001905
GO:0005739	ZFA:0005277	GO:0016234	ZFA:0005277	ZP:0106902	PATO:0002002
BSPO:0000074	ZFA:0009316	GO:0042995	ZFA:0009316	ZP:0106951	PATO:0002002
BSPO:0000071	ZFA:0000075	GO:0030424	ZFA:0009149	ZP:0107026	PATO:0002002
GO:0043209	ZFA:0009076	GO:0030424	ZFA:0009248	ZP:0107027	PATO:0002435
BSPO:0000071	ZFA:0000075	GO:0030424	ZFA:0005865	ZP:0107041	PATO:0002001
BSPO:0000072	ZFA:0000075	GO:0030424	ZFA:0005865	ZP:0107042	PATO:0002001
GO:0043209	ZFA:0009076	GO:0044297	ZFA:0009248	ZP:0107050	PATO:0001505
GO:0030424	ZFA:0009150	GO:0043209	ZFA:0009076	ZP:0107095	PATO:0002000
